Date,Children apprehended and placed in CBP custody*,Children in CBP custody,Children transferred out of CBP custody,Children in HHS Care,Children discharged from HHS Care,Total System Load,Net Daily Intake,Care Load Growth Rate,Backlog Indicator,Week,Year,Month,Rolling Average System Load 7 Days,Rolling Average System Load 14 Days,Rolling std System Load 7 Days,Rolling std System Load 14 Days,Rolling IQR System Load 7 Days,Rolling IQR System Load 14 Days,Rolling CV System Load 7 Days,Rolling CV System Load 14 Days,Is_High_Load,Consecutive_High_Load_Days,Prolonged_Strain_Window
2023-01-12,33.0,53.0,34.0,6566.0,436.0,6619.0,-402.0,,False,2,2023,1,,,,,,,,,False,,False
2023-01-22,32.0,49.0,39.0,7122.0,227.0,7171.0,-188.0,8.339628342649942,False,3,2023,1,,,,,,,,,False,,False
2023-01-23,32.0,50.0,39.0,7280.0,181.0,7330.0,-142.0,2.2172639799191263,False,4,2023,1,,,,,,,,,False,,False
2023-01-24,47.0,42.0,47.0,7433.0,175.0,7475.0,-128.0,1.9781718963165051,False,4,2023,1,,,,,,,,,False,,False
2023-01-25,20.0,22.0,41.0,7538.0,180.0,7560.0,-139.0,1.1371237458194017,False,4,2023,1,,,,,,,,,False,0.0,False
2023-01-29,23.0,45.0,11.0,7472.0,303.0,7517.0,-292.0,-0.5687830687830742,False,4,2023,1,,,,,,,,,False,0.0,False
2023-01-30,34.0,54.0,29.0,7743.0,196.0,7797.0,-167.0,3.7248902487694524,False,5,2023,1,7352.714285714285,,377.3092075410273,,288.0,,0.051315635679480685,,False,0.0,False
2023-01-31,26.0,36.0,36.0,7803.0,158.0,7839.0,-122.0,0.538668718737978,False,5,2023,1,7527.0,,237.9362659761355,,276.0,,0.03161103573483931,,False,0.0,False
2023-02-01,25.0,32.0,27.0,7903.0,231.0,7935.0,-204.0,1.2246460007653948,False,5,2023,2,7636.142857142857,,222.120409216433,,322.0,,0.029088037425682955,,False,0.0,False
2023-02-02,15.0,13.0,23.0,7879.0,298.0,7892.0,-275.0,-0.5419029615627013,False,5,2023,2,7716.428571428572,,192.63251468608564,,327.0,,0.024963947103630462,,False,0.0,False
2023-02-05,16.0,18.0,15.0,7586.0,342.0,7604.0,-327.0,-3.6492650785605707,False,5,2023,2,7734.857142857143,,170.59643272103347,,283.5,,0.022055537622769544,,False,0.0,False
2023-02-06,11.0,22.0,12.0,7720.0,196.0,7742.0,-184.0,1.8148342977380327,False,6,2023,2,7760.857142857143,,152.40453686535065,,192.5,,0.01963759080472434,,False,0.0,False
2023-02-07,16.0,20.0,20.0,7855.0,200.0,7875.0,-180.0,1.7179023508137492,False,6,2023,2,7812.0,,111.51681487560069,,114.0,,0.014275065908295019,,False,0.0,False
2023-02-08,93.0,196.0,169.0,7915.0,317.0,8111.0,-148.0,2.9968253968253977,False,6,2023,2,7856.857142857143,7604.785714285715,157.95930759895634,381.6402209434405,123.0,380.5,0.020104642954156413,0.050184217581111204,False,0.0,False
2023-02-09,124.0,234.0,161.0,7908.0,353.0,8142.0,-192.0,0.3821970163974786,False,6,2023,2,7900.142857142857,7713.571428571428,190.42883935250345,283.4655627668467,214.5,360.0,0.024104480488011504,0.03674893859372028,False,0.0,False
2023-02-12,92.0,203.0,173.0,7434.0,317.0,7637.0,-144.0,-6.202407270940801,False,6,2023,2,7857.571428571428,7746.857142857143,213.276703793338,238.67482131483865,312.0,316.75,0.027142827237666416,0.030809245209188436,False,0.0,False
2023-02-13,186.0,259.0,172.0,7483.0,244.0,7742.0,-72.0,1.3748854262144894,False,7,2023,2,7836.142857142857,7776.285714285715,216.74826302374026,206.5621264605685,303.5,275.5,0.027660070391157858,0.026563083462982317,False,0.0,False
2023-02-14,154.0,225.0,220.0,7794.0,223.0,8019.0,-3.0,3.577886850942913,False,7,2023,2,7895.428571428572,7815.142857142857,198.67130068101022,196.44566958551383,323.0,261.0,0.025162826676685814,0.025136542373754192,False,0.0,False
2023-02-15,91.0,199.0,172.0,7869.0,290.0,8068.0,-118.0,0.6110487591969083,False,7,2023,2,7942.0,7851.428571428572,194.8845812269367,192.57115140032803,281.0,256.0,0.024538476608780748,0.024526893373404225,False,0.0,False
